model_type,params,f1_score
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.05', 'c2': '0.3', 'max_iterations': '50', 'epsilon': '0.00001'}",73.0
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.05', 'c2': '0.3', 'max_iterations': '50', 'epsilon': '0.0001'}",73.0
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.05', 'c2': '0.3', 'max_iterations': '100', 'epsilon': '0.00001'}",73.7
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.05', 'c2': '0.3', 'max_iterations': '100', 'epsilon': '0.0001'}",73.7
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.05', 'c2': '0.3', 'max_iterations': '200', 'epsilon': '0.00001'}",74.0
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.05', 'c2': '0.3', 'max_iterations': '200', 'epsilon': '0.0001'}",74.0
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.05', 'c2': '0.5', 'max_iterations': '50', 'epsilon': '0.00001'}",70.3
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.05', 'c2': '0.5', 'max_iterations': '50', 'epsilon': '0.0001'}",70.3
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.05', 'c2': '0.5', 'max_iterations': '100', 'epsilon': '0.00001'}",71.1
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.05', 'c2': '0.5', 'max_iterations': '100', 'epsilon': '0.0001'}",71.1
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.05', 'c2': '0.5', 'max_iterations': '200', 'epsilon': '0.00001'}",71.4
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.05', 'c2': '0.5', 'max_iterations': '200', 'epsilon': '0.0001'}",71.4
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.1', 'c2': '0.1', 'max_iterations': '50', 'epsilon': '0.00001'}",72.3
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.1', 'c2': '0.1', 'max_iterations': '50', 'epsilon': '0.0001'}",72.3
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.1', 'c2': '0.1', 'max_iterations': '100', 'epsilon': '0.00001'}",74.5
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.1', 'c2': '0.1', 'max_iterations': '100', 'epsilon': '0.0001'}",74.5
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.1', 'c2': '0.1', 'max_iterations': '200', 'epsilon': '0.00001'}",74.1
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.1', 'c2': '0.1', 'max_iterations': '200', 'epsilon': '0.0001'}",74.1
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.1', 'c2': '0.3', 'max_iterations': '50', 'epsilon': '0.00001'}",71.0
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.1', 'c2': '0.3', 'max_iterations': '50', 'epsilon': '0.0001'}",71.0
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.1', 'c2': '0.3', 'max_iterations': '100', 'epsilon': '0.00001'}",73.5
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.1', 'c2': '0.3', 'max_iterations': '100', 'epsilon': '0.0001'}",73.5
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.1', 'c2': '0.3', 'max_iterations': '200', 'epsilon': '0.00001'}",73.5
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.1', 'c2': '0.3', 'max_iterations': '200', 'epsilon': '0.0001'}",73.5
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.1', 'c2': '0.5', 'max_iterations': '50', 'epsilon': '0.00001'}",70.4
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.1', 'c2': '0.5', 'max_iterations': '50', 'epsilon': '0.0001'}",70.4
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.1', 'c2': '0.5', 'max_iterations': '100', 'epsilon': '0.00001'}",71.0
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.1', 'c2': '0.5', 'max_iterations': '100', 'epsilon': '0.0001'}",71.0
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.1', 'c2': '0.5', 'max_iterations': '200', 'epsilon': '0.00001'}",71.0
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.1', 'c2': '0.5', 'max_iterations': '200', 'epsilon': '0.0001'}",71.0
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.2', 'c2': '0.1', 'max_iterations': '50', 'epsilon': '0.00001'}",72.1
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.2', 'c2': '0.1', 'max_iterations': '50', 'epsilon': '0.0001'}",72.1
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.2', 'c2': '0.1', 'max_iterations': '100', 'epsilon': '0.00001'}",74.3
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.2', 'c2': '0.1', 'max_iterations': '100', 'epsilon': '0.0001'}",74.3
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.2', 'c2': '0.1', 'max_iterations': '200', 'epsilon': '0.00001'}",74.4
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.2', 'c2': '0.1', 'max_iterations': '200', 'epsilon': '0.0001'}",74.4
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.2', 'c2': '0.3', 'max_iterations': '50', 'epsilon': '0.00001'}",70.9
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.2', 'c2': '0.3', 'max_iterations': '50', 'epsilon': '0.0001'}",70.9
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.2', 'c2': '0.3', 'max_iterations': '100', 'epsilon': '0.00001'}",73.3
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.2', 'c2': '0.3', 'max_iterations': '100', 'epsilon': '0.0001'}",73.3
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.2', 'c2': '0.3', 'max_iterations': '200', 'epsilon': '0.00001'}",73.3
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.2', 'c2': '0.3', 'max_iterations': '200', 'epsilon': '0.0001'}",73.3
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.2', 'c2': '0.5', 'max_iterations': '50', 'epsilon': '0.00001'}",70.0
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.2', 'c2': '0.5', 'max_iterations': '50', 'epsilon': '0.0001'}",70.0
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.2', 'c2': '0.5', 'max_iterations': '100', 'epsilon': '0.00001'}",71.0
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.2', 'c2': '0.5', 'max_iterations': '100', 'epsilon': '0.0001'}",71.0
